periodo,datetime,CO2_ppm,AQI,CO_ppm,SO2_ppm,O3_ppm,NO2_ppm,PM2_5_ugm3,temp_C,hum_pct,Bat_pct
P1,2025-11-06 20:09:35,0.9975648776875472,5,0.4463000469815397,0.9303648608478335,-0.34087158635505993,-0.5849382869956451,0.4437699547983148,0.34053156146179403,0.4341590612777053,0.7042606516290725
P1,2025-11-06 20:10:18,0.8377934955520817,5,0.3582557694754104,1.0857783646780605,-0.11308182420018227,-0.3038293232355564,0.3805255367060618,0.3388704318936877,0.4354628422425032,0.700501253132832
P1,2025-11-06 20:11:19,0.6518542039404316,4,0.31191667605113144,1.0857783646780605,-0.2041977290621333,-0.49123529907561553,0.3805255367060618,0.3372093023255814,0.43285528031290743,0.7017543859649121
P1,2025-11-06 20:12:19,0.5309290352943102,4,0.3242737676309391,1.02361296314597,-0.15863977663115778,-0.44438380511560077,0.31728111861380875,0.3372093023255814,0.4380704041720991,0.7030075187969924
P1,2025-11-06 20:13:20,0.4490700940900392,4,0.2841132199965639,1.0546956639120155,-0.24975568149310895,-0.44438380511560077,0.31728111861380875,0.33222591362126247,0.43676662320730114,0.7042606516290725
P1,2025-11-06 20:14:20,0.3955929527590449,4,0.23468485367733308,1.0546956639120155,-0.2041977290621333,-0.49123529907561553,0.1907922824293027,0.33222591362126247,0.4419817470664928,0.7055137844611528
P1,2025-11-06 20:15:22,0.3462135712934749,4,0.20070285183286213,1.0546956639120155,-0.15863977663115778,-0.49123529907561553,0.1907922824293027,0.33056478405315615,0.4380704041720991,0.7067669172932329
P1,2025-11-06 20:16:22,0.3208569632671562,4,0.1783056233444605,1.02361296314597,-0.2041977290621333,-0.49123529907561553,0.06430344624479664,0.33056478405315615,0.4380704041720991,0.7080200501253132
P1,2025-11-06 20:17:22,0.29092131485430583,4,0.19761357893791023,0.9925302623799248,-0.2953136339240846,-0.39753231115558596,0.12754786433704968,0.3289036544850498,0.439374185136897,0.7080200501253132
P1,2025-11-06 20:18:44,0.2866035410363751,4,0.12192639301158795,1.02361296314597,-0.34087158635505993,-0.49123529907561553,0.06430344624479664,0.32724252491694356,0.44067796610169485,0.7080200501253132
P1,2025-11-06 20:19:45,0.27080378907203667,4,0.16981012288334285,0.9925302623799248,-0.24975568149310895,-0.44438380511560077,0.06430344624479664,0.32724252491694356,0.4445893089960887,0.7080200501253132
P1,2025-11-06 20:20:46,0.2428070136156456,4,0.18680112380557837,0.9925302623799248,-0.24975568149310895,-0.44438380511560077,0.06430344624479664,0.32724252491694356,0.44328552803129073,0.7080200501253132
P1,2025-11-06 20:21:47,0.24042811275417422,4,0.18448416913436447,0.9925302623799248,-0.2953136339240846,-0.44438380511560077,0.06430344624479664,0.32558139534883723,0.4445893089960887,0.7067669172932329
P1,2025-11-06 20:22:47,0.22406457503653904,3,0.17444403222577068,0.9925302623799248,-0.24975568149310895,-0.44438380511560077,0.06430344624479664,0.32558139534883723,0.44067796610169485,0.7055137844611528
P1,2025-11-06 20:23:48,0.22042059394815794,4,0.12964957524896784,0.8992821600817884,-0.24975568149310895,-0.49123529907561553,0.0010590281525436121,0.32558139534883723,0.4419817470664928,0.7067669172932329
P1,2025-11-06 20:24:48,0.2045520876236613,3,0.11883712011663597,0.8992821600817884,-0.2041977290621333,-0.44438380511560077,0.12754786433704968,0.3239202657807309,0.4445893089960887,0.7080200501253132
P1,2025-11-06 20:25:53,0.19653532922922315,3,0.1837118509106265,0.8681994593157432,-0.4775454436479867,-0.5849382869956451,0.06430344624479664,0.3239202657807309,0.4419817470664928,0.7117794486215537
P1,2025-11-06 20:26:55,0.17262256276622512,3,0.21305994341266984,0.8992821600817884,-0.24975568149310895,-0.39753231115558596,0.0010590281525436121,0.3222591362126246,0.4445893089960887,0.7142857142857142
P1,2025-11-06 20:27:56,0.1531788297135056,3,0.19452430604295826,0.8992821600817884,-0.2953136339240846,-0.5380867930356303,0.0010590281525436121,0.3222591362126246,0.4445893089960887,0.7180451127819547
